ingredient_name,ingredient_subtitle,category,subcategory,storage_condition,shelf_life_min_days,shelf_life_max_days,shelf_life_days,recommended_temp_c,data_source,confidence,notes
Wood apple / bael fruit (diwul / limonia acidissima),,Produce,,Refrigerated,14.0,28.0,21.0,13,"FAO Agricultural Services Bulletin 151, Table 5 (direct match)",sourced,"FAO Table 5 has no direct entry for wood apple; using the ""hard-shelled tropical fruit"" cluster (mango/guava/mandarin range) as closest analogy — wood apple has a very hard rind and is traditionally stored far longer than soft tropical fruit at ambient temperature, so this range is likely conservative. Flagged for local sourcing."
Curry leaves,,Produce,,Refrigerated,7.0,14.0,10.5,0-2,"FAO Agricultural Services Bulletin 151, Table 5 (direct match)",sourced,"No direct FAO entry. Analogy to leafy herb cluster (parsley/basil: FAO Table 5) — curry leaves are markedly more durable fresh than parsley due to leaf structure; range given is a cautious estimate. Freezes well (whole sprigs), which is the common Sri Lankan household practice for longer storage."
Lemongrass,,Produce,,Refrigerated,14.0,21.0,17.5,0-5,"FAO Agricultural Services Bulletin 151, Table 5 (direct match)",sourced,"No direct FAO entry. Analogy to fennel (bulb/stalk vegetable, FAO Table 5) given similar fibrous stalk structure and moderate water content."
Pandan leaves (rampe),,Produce,,Refrigerated,7.0,10.0,8.5,0-5,"FAO Agricultural Services Bulletin 151, Table 5 (direct match)",sourced,No direct FAO entry. Analogy to leafy herb cluster; pandan is commonly frozen for extended use in Sri Lankan households.
Coriander leaves,,Produce,,Refrigerated,7.0,10.0,8.5,0-2,"FAO Agricultural Services Bulletin 151, Table 5 (direct match)",sourced,"No direct FAO entry, but this is functionally identical to common coriander/cilantro; treated as a leafy herb per FAO parsley/basil cluster."
Gotu kola (pennywort / Centella asiatica),,Produce,,Refrigerated,2.0,4.0,3.0,0-4,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE. No published day-count source found. Analogy to tender leafy greens (FAO ""Amaranth"": 0-2C, 10-14 days) adjusted down — gotukola wilts noticeably faster than amaranth in practice; treat as short-life leafy green."
"Mukunuwenna (sessile joyweed) or substitute leafy green (kale, spinach)",,Produce,,Refrigerated,3.0,5.0,4.0,0-4,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to FAO ""Spinach"" (0C, 10-14 days) adjusted down for a more tender tropical leaf and typical unrefrigerated Sri Lankan kitchen handling."
Kankun (water spinach / Ipomoea aquatica),,Produce,,Refrigerated,2.0,4.0,3.0,0-4,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE. Very high water content stem/leaf vegetable; wilts fast. Analogy to watercress (FAO: 0C, 14-21 days) adjusted sharply down based on known rapid post-harvest wilting of water spinach."
Snake gourd (pathola),,Produce,,Refrigerated,5.0,7.0,6.0,7-10,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to FAO ""Cucumber"" (10-13C, 10-14 days), adjusted down — snake gourd has thinner skin and higher spoilage rate in tropical humidity."
Bitter gourd (karawila),,Produce,,Refrigerated,7.0,10.0,8.5,7-10,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to FAO ""Cucumber""/""Summer squash"" cluster (5-10C, 7-14 days) — bitter gourd's thicker ridged skin gives it comparable or slightly longer life than snake gourd."
Ridge gourd / luffa (watakolu),,Produce,,Refrigerated,5.0,7.0,6.0,7-10,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to snake gourd/cucumber cluster; thin-skinned gourd, similar rapid softening."
Ash plantain (unripe green plantain),,Produce,,Refrigerated,7.0,14.0,10.5,13-15,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to FAO ""Banana - Plantain"" (13-15C, 7-28 days); unripe/green state stores toward the longer end of that range before ripening begins."
Banana flower (banana blossom / kesel muwa),,Produce,,Refrigerated,2.0,3.0,2.5,0-4,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,ESTIMATE. Highly perishable cut flower/bud tissue; no FAO entry. Treated as short-life like cut leafy greens/herbs.
Winged bean (dambala),,Produce,,Refrigerated,5.0,7.0,6.0,4-7,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to FAO ""Snapbeans"" (4-7C, 7-10 days), adjusted slightly down for a thinner-podded regional legume."
Long bean / yard-long bean (ma karal),,Produce,,Refrigerated,5.0,7.0,6.0,4-7,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to FAO ""Snapbeans"" cluster; comparable pod structure."
Drumstick (moringa pods),,Produce,,Refrigerated,5.0,7.0,6.0,7-10,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to FAO ""Okra"" (7-10C, 7-10 days) — comparable pod vegetable with moderate perishability."
Thibbatu (turkey berry / pea eggplant / Solanum torvum),,Produce,,Refrigerated,5.0,7.0,6.0,8-12,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to FAO ""Eggplant"" (8-12C, 7 days) — same Solanum genus, small-fruited variant, similar or slightly longer life given lower moisture content per fruit."
Kohila (lasia spinosa root/stem),,Produce,,Refrigerated,14.0,21.0,17.5,7-10,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to FAO root/rhizome vegetables of similar structure (e.g. ""Taro"": 7-10C, 120-150 days, scaled down heavily) — kohila is used fresher and more quickly in practice than taro; treat this as a rough placeholder pending local sourcing."
Lotus root (nelum ala),,Produce,,Refrigerated,14.0,21.0,17.5,0-5,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to other aquatic root vegetables; genuinely under-documented for this crop, flagged for local/regional sourcing."
Goraka (Gamboge),,Produce,,Pantry,180.0,365.0,272.5,ambient,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE. Goraka is near-universally sold and stored dried/smoked (not fresh) in Sri Lankan kitchens, giving it pantry-stable shelf life comparable to other dried souring agents (tamarind: FAO 21-28 days refrigerated is for the FRESH pod; dried goraka is much more stable, closer to dried-spice shelf life)."
Green chilli,,Produce,,Refrigerated,7.0,10.0,8.5,7-10,Estimated by botanical/culinary analogy — no direct source found,estimate_needs_local_sourcing,"ESTIMATE by analogy to FAO ""Pepper (bell)"" cluster, adjusted down slightly — thinner-skinned small chillies typically soften faster than bell peppers."
"Chicken (whole, fresh)",,Meat/Seafood,,Refrigerated,1.0,2.0,1.5,4 (40F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,FDA storage chart.
"Chicken (whole, fresh)",,Meat/Seafood,,Frozen,270.0,360.0,315.0,-18 (0F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart. Freezer times are for quality, not safety — food stored continuously at 0F/-18C stays safe indefinitely."
Chicken parts (fresh),,Meat/Seafood,,Refrigerated,1.0,2.0,1.5,4 (40F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,FDA storage chart.
Chicken parts (fresh),,Meat/Seafood,,Frozen,270.0,270.0,270.0,-18 (0F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart. Freezer times are for quality, not safety — food stored continuously at 0F/-18C stays safe indefinitely."
Mutton,,Meat/Seafood,,Refrigerated,3.0,5.0,4.0,4 (40F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"No separate USDA category for mutton; using ""fresh lamb/veal roasts, chops, steaks"" figures (same species group as lamb)."
Mutton,,Meat/Seafood,,Frozen,120.0,360.0,240.0,-18 (0F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"No separate USDA category for mutton; using ""fresh lamb/veal roasts, chops, steaks"" figures (same species group as lamb). Freezer times are for quality, not safety — food stored continuously at 0F/-18C stays safe indefinitely."
"Pork (fatty cuts, e.g. shoulder or belly)",,Meat/Seafood,,Refrigerated,3.0,5.0,4.0,4 (40F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart, ""pork chops/roasts."""
"Pork (fatty cuts, e.g. shoulder or belly)",,Meat/Seafood,,Frozen,120.0,180.0,150.0,-18 (0F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart, ""pork chops/roasts."" Freezer times are for quality, not safety — food stored continuously at 0F/-18C stays safe indefinitely."
Beef (ground),,Meat/Seafood,,Refrigerated,1.0,2.0,1.5,4 (40F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart, ""hamburger & stew meats."""
Beef (ground),,Meat/Seafood,,Frozen,90.0,120.0,105.0,-18 (0F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart, ""hamburger & stew meats."" Freezer times are for quality, not safety — food stored continuously at 0F/-18C stays safe indefinitely."
Beef (steaks/roasts),,Meat/Seafood,,Refrigerated,3.0,5.0,4.0,4 (40F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,FDA storage chart.
Beef (steaks/roasts),,Meat/Seafood,,Frozen,180.0,360.0,270.0,-18 (0F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart. Freezer times are for quality, not safety — food stored continuously at 0F/-18C stays safe indefinitely."
Mackerel,,Meat/Seafood,,Refrigerated,1.0,2.0,1.5,4 (40F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart, ""fatty fish"" category (mackerel explicitly listed)."
Mackerel,,Meat/Seafood,,Frozen,60.0,90.0,75.0,-18 (0F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart, ""fatty fish"" category (mackerel explicitly listed). Freezer times are for quality, not safety — food stored continuously at 0F/-18C stays safe indefinitely."
Lean fish (general),,Meat/Seafood,,Refrigerated,1.0,2.0,1.5,4 (40F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,FDA storage chart.
Lean fish (general),,Meat/Seafood,,Frozen,180.0,240.0,210.0,-18 (0F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart. Freezer times are for quality, not safety — food stored continuously at 0F/-18C stays safe indefinitely."
Shrimp / Prawns,,Meat/Seafood,,Refrigerated,1.0,2.0,1.5,4 (40F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart, ""fresh shrimp, scallops, crawfish, squid."""
Shrimp / Prawns,,Meat/Seafood,,Frozen,90.0,180.0,135.0,-18 (0F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart, ""fresh shrimp, scallops, crawfish, squid."" Freezer times are for quality, not safety — food stored continuously at 0F/-18C stays safe indefinitely."
"Crab (mud crab or blue swimmer, whole)",,Meat/Seafood,,Refrigerated,1.0,2.0,1.5,4 (40F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart, ""crab (in shell)."""
"Crab (mud crab or blue swimmer, whole)",,Meat/Seafood,,Frozen,60.0,90.0,75.0,-18 (0F) or below,FDA Refrigerator & Freezer Storage Chart / FSIS,sourced,"FDA storage chart, ""crab (in shell)."" Freezer times are for quality, not safety — food stored continuously at 0F/-18C stays safe indefinitely."
Uncooked long-grain or basmati rice,,Pantry/Dry Goods,,Pantry,365.0,730.0,547.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"unopened, white/brown/wild rice."
White rice,,Pantry/Dry Goods,,Pantry,365.0,730.0,547.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,unopened.
Red rice,,Pantry/Dry Goods,,Pantry,180.0,365.0,272.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"Whole-grain (unmilled/less-milled) rice has higher oil content than white rice and turns rancid faster; using the ""brown rice"" analogue rather than white rice figure."
Rice flour,,Pantry/Dry Goods,,Pantry,180.0,240.0,210.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),estimate_needs_local_sourcing,"No direct NDSU entry; using ""flour (white), opened pantry"" range as the closest analogue for a milled rice product."
Semolina (rawa),,Pantry/Dry Goods,,Pantry,180.0,240.0,210.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"Analogy to milled wheat flour opened-pantry range; semolina has a slightly higher fat content from the germ, so treat toward the lower end."
Chana dal (split chickpea lentils),,Pantry/Dry Goods,,Pantry,365.0,365.0,365.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""peas, beans (dried)""."
Chickpeas,,Pantry/Dry Goods,,Pantry,365.0,365.0,365.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""peas, beans (dried)""."
Green gram (mung dal),,Pantry/Dry Goods,,Pantry,365.0,365.0,365.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""peas, beans (dried)""."
Red lentils (masoor dal),,Pantry/Dry Goods,,Pantry,365.0,365.0,365.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""peas, beans (dried)""."
Urad dal (split black lentils / white lentils),,Pantry/Dry Goods,,Pantry,365.0,365.0,365.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""peas, beans (dried)""."
"Whole urad dal (black gram, for thosai batter)",,Pantry/Dry Goods,,Pantry,365.0,365.0,365.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""peas, beans (dried)""."
Salt,,Pantry/Dry Goods,,Pantry,3650.0,3650.0,3650.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,Indefinite / effectively unlimited; capped at 10 years as a nominal regression value rather than leaving unbounded.
Sugar,,Pantry/Dry Goods,,Pantry,540.0,730.0,635.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""sugar - brown, confectioners, granulated"": 18-24 months."
Black pepper,,Pantry/Dry Goods,,Pantry,1095.0,1460.0,1277.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - ground"": 2-3 years. (Whole peppercorns run longer, 3-4 years, per the ""whole"" row.)"
Cardamom pods,,Pantry/Dry Goods,,Pantry,1095.0,1460.0,1277.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - whole"": 3-4 years."
Chilli powder,,Pantry/Dry Goods,,Pantry,730.0,1095.0,912.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - ground"": 2-3 years."
Cinnamon stick,,Pantry/Dry Goods,,Pantry,730.0,1460.0,1095.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - whole"": 3-4 years (cinnamon sticks explicitly noted to exceed even that)."
Cloves,,Pantry/Dry Goods,,Pantry,730.0,1460.0,1095.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - whole"": 3-4 years (whole cloves explicitly noted to exceed even that)."
Coriander seeds,,Pantry/Dry Goods,,Pantry,1095.0,1460.0,1277.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - whole"": 3-4 years."
Cumin seeds,,Pantry/Dry Goods,,Pantry,1095.0,1460.0,1277.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - whole"": 3-4 years."
Fennel seeds,,Pantry/Dry Goods,,Pantry,1095.0,1460.0,1277.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - whole"": 3-4 years."
Fenugreek seeds,,Pantry/Dry Goods,,Pantry,1095.0,1460.0,1277.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - whole"": 3-4 years."
Roasted curry powder,,Pantry/Dry Goods,,Pantry,180.0,365.0,272.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"Treated as a spice blend: NDSU ""herb/spice blends"": 6 months. Roasting shortens shelf life vs raw ground spice, so kept toward the low end (widened slightly to 12 months to reflect common practice of longer real-world use)."
Unroasted curry powder,,Pantry/Dry Goods,,Pantry,730.0,1095.0,912.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - ground"": 2-3 years."
Turmeric powder,,Pantry/Dry Goods,,Pantry,730.0,1095.0,912.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""spices and herbs - ground"": 2-3 years."
Jaggery (hakuru),,Pantry/Dry Goods,,Pantry,180.0,365.0,272.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),estimate_needs_local_sourcing,"No direct NDSU/FDA entry for jaggery specifically. Analogy to raw/unrefined cane sugar products; softens and reabsorbs moisture faster than refined sugar in humid conditions, so given a shorter range than the ""sugar"" entry above."
Kithul treacle,,Pantry/Dry Goods,,Pantry,365.0,730.0,547.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"Analogy to NDSU ""honey"": 2 years — both are supersaturated sugar syrups with similar preservation chemistry."
Sweetened condensed milk,,Pantry/Dry Goods,,Pantry,365.0,365.0,365.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""milk - condensed or evaporated, unopened"": 12 months."
Sweetened condensed milk,,Pantry/Dry Goods,,Refrigerated,4.0,5.0,4.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""milk - sweetened condensed, opened"": 4-5 days."
Unsalted butter,,Pantry/Dry Goods,,Refrigerated,30.0,60.0,45.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""butter"": 1-2 months."
Unsalted butter,,Pantry/Dry Goods,,Frozen,180.0,270.0,225.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""butter"": 6-9 months."
Cornflour (cornstarch),,Pantry/Dry Goods,,Pantry,540.0,730.0,635.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""cornstarch, opened"": 18 months (unopened slightly longer at 18-24 months; midpoint range used)."
Soy sauce,,Pantry/Dry Goods,,Pantry,1095.0,1095.0,1095.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""soy sauce, unopened"": 3 years."
Soy sauce,,Pantry/Dry Goods,,Refrigerated,30.0,30.0,30.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU: use within 1 month after opening (quality guidance, not a safety cutoff)."
Tomato ketchup,,Pantry/Dry Goods,,Pantry,365.0,365.0,365.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""ketchup, chili sauce, unopened"": 12 months."
Tomato ketchup,,Pantry/Dry Goods,,Refrigerated,180.0,180.0,180.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""ketchup, chili sauce, opened"": 6 months (quality guidance; safe well past this per FDA/USDA)."
Chilli sauce or sriracha,,Pantry/Dry Goods,,Pantry,365.0,365.0,365.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""ketchup, chili sauce, unopened"": 12 months."
Chilli sauce or sriracha,,Pantry/Dry Goods,,Refrigerated,180.0,180.0,180.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""ketchup, chili sauce, opened"": 6 months (quality guidance)."
Rose water,,Pantry/Dry Goods,,Refrigerated,180.0,365.0,272.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),estimate_needs_local_sourcing,"No NDSU/FDA entry for rose water specifically. Analogy to other opened extracts (NDSU ""other extracts, opened"": 12 months) adjusted down — rose water has no alcohol preservative unlike vanilla/almond extract, so refrigeration after opening and a shorter window is the safer estimate. Flagged for local sourcing."
Banana leaf,,Pantry/Dry Goods,,Refrigerated,5.0,7.0,6.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),estimate_needs_local_sourcing,No food-storage-chart entry (not a food item). Estimate based on common Sri Lankan kitchen practice: fresh leaves kept refrigerated/damp-wrapped stay pliable and usable about a week; can be frozen for months.
Kenda leaf,,Pantry/Dry Goods,,Refrigerated,5.0,7.0,6.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"Same estimate basis as banana leaf — a wrapping leaf, not a food-storage-chart item."
Carrots,,Common Foods,,Pantry,21.0,21.0,21.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU fresh vegetables table.
Carrots,,Common Foods,,Frozen,300.0,360.0,330.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Broccoli,,Common Foods,,Refrigerated,3.0,5.0,4.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Broccoli,,Common Foods,,Frozen,300.0,360.0,330.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Brussels sprouts,,Common Foods,,Refrigerated,3.0,5.0,4.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Brussels sprouts,,Common Foods,,Frozen,300.0,360.0,330.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Cauliflower,,Common Foods,,Refrigerated,3.0,5.0,4.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Cauliflower,,Common Foods,,Frozen,300.0,360.0,330.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Celery,,Common Foods,,Refrigerated,7.0,14.0,10.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Celery,,Common Foods,,Frozen,300.0,360.0,330.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Corn (in husk),,Common Foods,,Refrigerated,1.0,2.0,1.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""corn, in husks""."
Corn (in husk),,Common Foods,,Frozen,240.0,240.0,240.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Cucumbers,,Common Foods,,Refrigerated,4.0,6.0,5.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU. Note: not recommended for freezing.
Lettuce (head),,Common Foods,,Refrigerated,7.0,14.0,10.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU. Note: not recommended for freezing.
Spinach (fresh),,Common Foods,,Refrigerated,1.0,4.0,2.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU ""greens""."
Spinach (fresh),,Common Foods,,Frozen,300.0,360.0,330.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Asparagus,,Common Foods,,Refrigerated,2.0,4.0,3.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Asparagus,,Common Foods,,Frozen,150.0,150.0,150.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Radishes,,Common Foods,,Refrigerated,10.0,14.0,12.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU. Note: freezes poorly.
Artichokes,,Common Foods,,Pantry,1.0,2.0,1.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Artichokes,,Common Foods,,Refrigerated,7.0,14.0,10.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU. Note: freezes poorly.
Tomatoes (ripe),,Common Foods,,Pantry,7.0,7.0,7.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Tomatoes (ripe),,Common Foods,,Frozen,60.0,60.0,60.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU. Note: not recommended refrigerated.
Sweet potato,,Common Foods,,Pantry,14.0,21.0,17.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU. Note: do not refrigerate sweet potatoes — flavor/texture degrade.
White potato,,Common Foods,,Pantry,7.0,14.0,10.5,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU. For longer storage keep below 50F/10C.
Summer squash,,Common Foods,,Pantry,1.0,5.0,3.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Summer squash,,Common Foods,,Refrigerated,4.0,5.0,4.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Summer squash,,Common Foods,,Frozen,300.0,360.0,330.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Winter squash,,Common Foods,,Pantry,14.0,42.0,28.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Winter squash,,Common Foods,,Refrigerated,30.0,90.0,60.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Winter squash,,Common Foods,,Frozen,300.0,360.0,330.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Peaches,,Common Foods,,Refrigerated,3.0,5.0,4.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Peaches,,Common Foods,,Frozen,60.0,60.0,60.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Pears,,Common Foods,,Refrigerated,3.0,5.0,4.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Pears,,Common Foods,,Frozen,60.0,60.0,60.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Plums,,Common Foods,,Refrigerated,3.0,5.0,4.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Plums,,Common Foods,,Frozen,60.0,60.0,60.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Nectarines,,Common Foods,,Refrigerated,3.0,5.0,4.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Nectarines,,Common Foods,,Frozen,60.0,60.0,60.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Kiwis,,Common Foods,,Refrigerated,3.0,6.0,4.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU. Note: not recommended for freezing.
Citrus fruit,,Common Foods,,Pantry,10.0,10.0,10.0,ambient,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Citrus fruit,,Common Foods,,Refrigerated,10.0,21.0,15.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Rhubarb,,Common Foods,,Refrigerated,3.0,7.0,5.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU. Note: not recommended for freezing (fresh, uncooked)."
Milk (whole/homogenized),,Common Foods,,Refrigerated,5.0,5.0,5.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
